Date,Close,Momentum,Signal,Position,Daily_Return,Portfolio_Value
2000-11-22,1222.35,21.549999999999955,0.0,1.0,-0.010242914979757156,1420001.3254604447
2000-11-23,1216.0,-8.849999999999909,-1.0,0.0,-0.0,1420001.3254604447
2000-11-24,1225.2,-16.84999999999991,0.0,0.0,0.0,1420001.3254604447
2000-11-27,1252.9,12.650000000000091,1.0,1.0,0.022608553705517398,1452105.5016890229
2000-11-28,1272.75,26.0,0.0,1.0,0.015843243674674712,1475111.562993618
2000-11-29,1264.75,-2.0499999999999545,-1.0,0.0,-0.0,1475111.562993618
2000-11-30,1268.15,-1.7999999999999545,0.0,0.0,0.0,1475111.562993618
2000-12-01,1276.2,36.65000000000009,1.0,1.0,0.006347829515435777,1484475.3197117494
2000-12-04,1275.6,67.54999999999995,0.0,1.0,-0.0004701457451811164,1483777.3999563607
2000-12-05,1284.65,41.80000000000018,0.0,1.0,0.007094700533082587,1494304.3562668068
2000-12-06,1298.55,51.5,0.0,1.0,0.010820067722725923,1510472.8305999779
2000-12-07,1302.5,69.25,0.0,1.0,0.0030418543760348804,1515067.4689896202
2000-12-08,1313.7,77.70000000000005,0.0,1.0,0.008598848368522205,1528095.3044235427
2000-12-11,1332.15,94.55000000000018,0.0,1.0,0.014044302352135274,1549556.336901745
2000-12-12,1333.35,98.34999999999991,0.0,1.0,0.0009007994595202629,1550952.1764125226
2000-12-13,1354.3,131.95000000000005,0.0,1.0,0.015712303596205013,1575321.2078715109
2000-12-14,1349.35,133.3499999999999,0.0,1.0,-0.00365502473602608,1569563.3698895539
2000-12-15,1312.6,87.39999999999986,0.0,1.0,-0.02723533553192281,1526815.7848719966
2000-12-18,1317.6,64.69999999999982,0.0,1.0,0.0038092335822033085,1532631.7828335692
2000-12-19,1310.5,37.75,0.0,1.0,-0.00538858530661801,1524373.0657281366
2000-12-20,1295.25,30.5,0.0,1.0,-0.01163677985501721,1506634.2719453406
2000-12-21,1277.4,9.25,0.0,1.0,-0.013781123335263379,1485871.1592225272
2000-12-22,1242.0,-34.200000000000045,-1.0,0.0,-0.0,1485871.1592225272
2000-12-26,1212.0,-63.59999999999991,0.0,0.0,-0.0,1485871.1592225272
2000-12-27,1228.3,-56.350000000000136,0.0,0.0,0.0,1485871.1592225272
2000-12-28,1248.95,-49.59999999999991,0.0,0.0,0.0,1485871.1592225272
2000-12-29,1263.55,-38.950000000000045,0.0,0.0,0.0,1485871.1592225272
2001-01-01,1254.3,-59.40000000000009,0.0,0.0,-0.0,1485871.1592225272
2001-01-02,1271.8,-60.350000000000136,0.0,0.0,0.0,1485871.1592225272
2001-01-03,1291.25,-42.09999999999991,0.0,0.0,0.0,1485871.1592225272
2001-01-04,1307.65,-46.649999999999864,0.0,0.0,0.0,1485871.1592225272
2001-01-05,1327.25,-22.09999999999991,0.0,0.0,0.0,1485871.1592225272
2001-01-08,1309.25,-3.349999999999909,0.0,0.0,-0.0,1485871.1592225272
2001-01-09,1311.65,-5.949999999999818,0.0,0.0,0.0,1485871.1592225272
2001-01-10,1287.3,-23.200000000000045,0.0,0.0,-0.0,1485871.1592225272
2001-01-11,1280.4,-14.849999999999909,0.0,0.0,-0.0,1485871.1592225272
2001-01-12,1286.75,9.349999999999909,1.0,1.0,0.004959387691346295,1493240.1703605019
2001-01-15,1286.75,44.75,0.0,1.0,0.0,1493240.1703605019
